Hostel_ID,Hostel_Name,Area,Budget_per_Night_EUR,Distance_from_Centre_km,Safety_Rating_10,Cleanliness_Rating_10,Social_Vibe_Score_10,WiFi_Quality_10,Breakfast_Included,Nearest_Station_Available
1,Bern Backpackers 1,Old Town,67.16,2.1,8.4,6.0,9.8,8.2,Yes,Yes
2,Alpine Youth Hostel 2,Lorraine,31.13,1.02,6.4,9.2,7.2,9.5,No,Yes
3,Nomad Nest 3,Länggasse,19.91,0.26,5.7,8.3,5.2,4.0,Yes,Yes
4,Bern Backpackers 4,Kirchenfeld,57.95,2.81,7.2,8.9,2.5,9.1,Yes,No
5,Aare Hostel 5,Länggasse,37.04,1.05,6.3,7.1,7.2,7.0,Yes,Yes
6,RiverSide Hostel 6,Wabern,63.19,4.41,6.4,7.4,8.2,4.5,Yes,No
7,Metro Stay Bern 7,Länggasse,51.41,6.4,6.3,7.8,6.5,6.1,No,No
8,Swiss Budget Inn 8,Breitenrain,46.48,3.66,9.1,6.2,3.4,9.3,No,No
9,LakeView Stay 9,Lorraine,29.62,2.3,5.6,6.9,7.9,6.6,No,No
10,Bern Comfort Rooms 10,Old Town,27.22,3.74,5.9,6.5,5.8,9.1,No,Yes
11,CityHub Bern 11,Breitenrain,57.76,1.34,9.1,6.2,7.7,9.9,No,Yes
12,LakeView Stay 12,Bümpliz,73.92,1.1,7.4,8.0,2.7,4.7,Yes,No
13,Bern Comfort Rooms 13,Mattenhof,54.45,2.51,8.0,7.2,7.5,8.5,Yes,No
14,Central Hostel 14,Old Town,42.93,5.31,5.8,8.9,7.4,6.8,No,Yes
15,Metro Stay Bern 15,Old Town,32.66,0.57,9.2,6.8,7.9,6.6,No,Yes
16,Central Hostel 16,Bümpliz,28.59,1.88,7.7,7.3,8.6,9.8,Yes,Yes
17,Nomad Nest 17,Mattenhof,73.97,1.65,7.7,6.2,6.0,9.7,Yes,No
18,Bern Backpackers 18,Old Town,67.36,7.08,8.0,8.5,8.5,4.2,Yes,Yes
19,Social House Bern 19,Mattenhof,56.82,5.05,9.2,8.2,8.0,9.4,Yes,No
20,CityHub Bern 20,Wabern,26.91,2.54,9.4,7.2,3.8,5.0,No,No
21,Bern Comfort Rooms 21,Mattenhof,39.85,3.01,9.4,8.0,9.7,9.8,No,Yes
22,Central Hostel 22,Mattenhof,26.22,5.25,5.8,9.3,7.7,4.6,Yes,Yes
23,CityHub Bern 23,Länggasse,26.59,7.21,7.7,6.5,7.7,5.1,No,Yes
24,CityHub Bern 24,Länggasse,26.08,6.01,6.7,8.9,9.9,8.9,Yes,No
25,Central Hostel 25,Kirchenfeld,36.29,3.55,9.7,6.8,7.1,8.2,Yes,No
26,Nomad Nest 26,Old Town,72.59,4.39,6.2,9.7,6.4,7.7,Yes,No
27,RiverSide Hostel 27,Wabern,73.8,1.22,8.4,8.0,5.1,4.6,No,Yes
28,Traveler Point 28,Bümpliz,58.75,2.3,8.3,8.6,7.6,8.8,Yes,No
29,Traveler Point 29,Mattenhof,27.5,2.51,7.4,7.7,5.2,6.5,No,Yes
30,Central Hostel 30,Old Town,24.18,6.66,6.4,6.8,9.5,5.5,Yes,No
31,Central Hostel 31,Bümpliz,34.74,2.35,9.2,8.2,9.8,7.8,Yes,No
32,Central Hostel 32,Old Town,21.85,2.7,7.5,6.6,3.3,4.7,No,Yes
33,Alpine Youth Hostel 33,Wabern,29.46,3.01,7.5,9.7,3.6,4.9,No,Yes
34,Aare Hostel 34,Mattenhof,47.76,7.0,8.2,7.3,7.6,7.5,No,Yes
35,Alpine Youth Hostel 35,Mattenhof,63.92,5.49,8.9,5.9,9.3,4.6,Yes,No
36,Bern Backpackers 36,Lorraine,32.75,3.54,9.6,7.4,3.5,6.8,Yes,No
37,Swiss Budget Inn 37,Lorraine,39.94,5.77,7.6,6.0,6.4,6.6,Yes,No
38,Bern Backpackers 38,Kirchenfeld,28.05,5.44,7.4,6.2,8.5,6.3,Yes,No
39,Nomad Nest 39,Länggasse,34.86,1.13,6.5,9.7,5.5,5.9,Yes,Yes
